Entry Time,Exit Time,Symbol,Side,Quantity,Entry Price,Exit Price,Stop Loss,Target,Exit Reason,Risk,Reward,Risk Reward,PnL,PnL %,Result
2026-07-15 12:24:42.789661,2026-07-15 12:24:42.789680,TCS,BUY,10,100,110,95,110,TARGET,50,100,2.0,100,10.0,WIN
2026-07-15 12:35:18.909439,2026-07-15 12:56:53.844798,TCS,BUY,2,2191,2179,2180,2213,STOP_LOSS,22,44,2.0,-24,-0.55,LOSS
